cnpj,uf,municipio,razao_social,nome_fantasia,porte,cnae_fiscal_descricao,data_inicio_atividade
20981944000102,DF,BRASILIA,BIF COMERCIO E INDUSTRIALIZACAO DE ALIMENTOS EIRELI,CANTINA FIORELLA,MICRO EMPRESA,Restaurantes e similares,2014-08-25
27522923000160,DF,BRASILIA,CASARAO DA VILA RESTAURANTE LTDA,,MICRO EMPRESA,Restaurantes e similares,2017-04-12
39275002000200,DF,BRASILIA,COMPLEXO GASTRONOMICO LTDA,COMPLEXO GASTRONOMICO,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2020-10-09
4021583000198,DF,BRASILIA,DUVAN BAR E RESTAURANTE LTDA,FRATELLO,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2000-09-01
13332961000145,PE,CARUARU,J & MASCENA COMBUSTIVEIS LTDA,MAXX TURBO,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2011-03-02
3888323000151,DF,BRASILIA,LA PAUSA CAFES ESPECIAIS LTDA,NEW KOTO,MICRO EMPRESA,Restaurantes e similares,2000-06-23
14593102000172,DF,BRASILIA,JFZ BAR E RESTAURANTE LTDA,PECORINO ASA SUL,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2011-11-07
16782636000172,PE,SAO LOURENCO DA MATA,POSTO DE COMBUSTIVEL SAO LOURENCO LTDA,,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2012-08-31
24336166000141,PE,SURUBIM,POSTO MARACAJA LTDA,,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1989-05-02
20800842000135,PE,AGRESTINA,POSTO SAO JOAO LTDA,,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2014-08-08
28841110000103,DF,BRASILIA,RICCO BURGER COMERCIO DE ALIMENTOS LTDA,,MICRO EMPRESA,Restaurantes e similares,2017-10-11
8801579000101,PE,CARUARU,RVC COMBUSTIVEIS LTDA,POSTO NOSSA SENHORA DE FATIMA,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2007-05-04
12879918000131,DF,BRASILIA,TIROL COMERCIO DE BEBIDAS E ALIMENTOS LTDA,BARTOLOMEU FORNERIA,MICRO EMPRESA,Restaurantes e similares,2010-11-16
7027843000120,PE,POMBOS,EDUARDO & INACIO COMBUSTIVEIS LTDA,AUTO POSTO SAO JOSE II,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2004-10-13
32965911000140,DF,BRASILIA,GA COMERCIO DE ALIMENTOS LTDA,BACO DELIVERY,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2019-03-08
3775973000190,DF,BRASILIA,GIRASSOL ALIMENTACAO NATURAL LTDA,RESTAURANTE GIRASSOL,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2000-04-28
27098007000144,PE,AGRESTINA,K E M SILVA COMBUSTIVEIS,POSTO MONTEIRO,MICRO EMPRESA,Comércio varejista de combustíveis para veículos automotores,2017-02-13
28120268000186,DF,BRASILIA,SHOIO COMERCIO DE ALIMENTOS LTDA,,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2017-07-06
21278757000111,PE,RECIFE,TALLA BAR E RESTAURANTE LTDA,HAUS,MICRO EMPRESA,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",2014-10-23
11117785000527,PE,GOIANA,ALBUQUERQUE PNEUS LTDA,ALBUQUERQUE PNEUS,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1993-05-20
462284000138,PE,POMBOS,AUTO POSTO CARRETEIRO LTDA,AUTO POSTO 232,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1995-03-06
21356422000174,DF,BRASILIA,GIRASSOL EMPORIO DE PRODUTOS NATURAIS LTDA,GIRASSOL EMPORIO NATURAL,EMPRESA DE PEQUENO PORTE,Comércio varejista de hortifrutigranjeiros,2014-11-04
19432967000170,PE,RECIFE,GREENMIX ALIMENTOS LTDA,GREENMIX,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2013-12-19
9850173000335,PE,RECIFE,HOTEIS PERNAMBUCO LTDA,RECIFE PRAIA HOTEL,DEMAIS,Hotéis,1987-11-17
8023202000160,PE,SERRA TALHADA,L LORENA TURISMO LTDA,HOTEL DAS PALMEIRAS,MICRO EMPRESA,Hotéis,1981-08-25
26607888000119,PE,PETROLINA,NOBILE GESTAO DE EMPREENDIMENTOS LTDA SCP 001,NOBILE SUITES DEL RIO PETROLINA,DEMAIS,Apart-hotéis,2016-10-26
37069853000270,DF,BRASILIA,PLAZA BRASILIA HOTEIS E TURISMO LTDA.,BRASILIA PALACE,DEMAIS,Hotéis,2006-10-02
34896790000157,PE,SANTA MARIA DA BOA VISTA,POSTO DE COMBUSTIVEL NOSSA SENHORA DE FATIMA LTDA,POSTO NOSSA SENHORA DE FATIMA III,MICRO EMPRESA,Comércio varejista de combustíveis para veículos automotores,2019-09-17
21933847000107,PE,PETROLINA,POSTO L3 EIRELI,POSTO L3,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2015-02-25
70081518000182,PE,PETROLINA,POSTO PAIZAO LTDA,POSTO PAIZAO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1994-04-15
35345321000293,PE,SALGUEIRO,FERNANDO SILVINO DE LIMA COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,POSTO VIA OESTE,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1999-10-26
2783295000145,PE,SALGUEIRO,SALGUEIRO PLAZA HOTEL LTDA,SALGUEIRO PLAZA HOTEL,EMPRESA DE PEQUENO PORTE,Hotéis,1998-09-29
9173100000194,PE,PASSIRA,VIEIRA E SILVA COMBUSTIVEIS LTDA,,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2007-11-06
13545051000140,PE,ARCOVERDE,W & R POUSADA LTDA,LW HOTEL,EMPRESA DE PEQUENO PORTE,Pensões (alojamento),2011-04-20
5785664000127,PE,PETROLINA,Z T EMPREENDIMENTOS TURSTICOS LTDA,J B HOTEL,EMPRESA DE PEQUENO PORTE,Hotéis,2003-07-31
32556652000101,PE,GARANHUNS,ANNA VIRGINIA C. BARROS COMERCIO DE COMBUSTIVEIS EIRELI,,MICRO EMPRESA,Comércio varejista de combustíveis para veículos automotores,2019-01-24
3997899000157,PE,JATOBA,AUTO POSTO MOXOTO LTDA,POSTO MOXOTO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2000-08-10
11757668000102,PE,SAO CAITANO,TIAGO & NEVES COMBUSTIVEIS LTDA,AUTO POSTO SAO BENTO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2010-03-24
10299921000150,PE,TRACUNHAEM,E. J. DE LIMA - COMBUSTIVEIS,,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2008-08-27
19344081000175,PE,PAUDALHO,HELIO & LEONARDO COMBUSTIVEIS LTDA,AUTO POSTO NOVA CONQUISTA,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2013-12-02
10854400000118,PE,AFOGADOS DA INGAZEIRA,HOTEL BROTAS LTDA,HOTEL BROTAS,EMPRESA DE PEQUENO PORTE,Hotéis,2009-05-06
3005095000124,PE,CARPINA,IVONE DE BARROS VARELLA,POSTO CENTRAL IPIRANGA RAIO DE LUZ,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,1999-01-07
8072308001207,PE,ARCOVERDE,J A D ARAUJO & CIA LTDA,,DEMAIS,Hotéis,2008-04-10
18080586000107,PE,VITORIA DE SANTO ANTAO,LIG COMBUSTIVEIS E SERVICOS LTDA,POSTO ARCO-IRIS II,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2013-05-09
70180823000121,PE,GARANHUNS,HOTEL MAEL LTDA,HOTEL MAEL,MICRO EMPRESA,Hotéis,1994-06-30
8828698000140,PE,AGUAS BELAS,N & E OLIVEIRA COMBUSTIVEIS LTDA,POSTO DO MESTRE,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2007-05-14
29605547000100,DF,BRASILIA,PRIMOS MARINHO COMERCIO VAREJISTA DE ALIMENTOS LTDA,BEIRUTE,MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,2018-02-02
11617257000103,DF,BRASILIA,TETA EMPORIO LTDA,TETA EMPORIO,MICRO EMPRESA,Restaurantes e similares,2010-02-25
17895646000691,RJ,RIO DE JANEIRO,UBER DO BRASIL TECNOLOGIA LTDA.,,DEMAIS,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",2016-02-11
66970229000914,PE,RECIFE,CLARO NXT TELECOMUNICACOES S/A,,DEMAIS,Serviço móvel especializado - SME,1995-07-12
16632595000138,PE,BODOCO,AUTO POSTO BOM JESUS COMBUSTIVEIS LTDA,AUTO POSTO BOM JESUS II,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2012-07-19
7007858000127,PE,CACHOEIRINHA,KSK COMBUSTIVEIS EIRELI,POSTO CRISTO REI,MICRO EMPRESA,Comércio varejista de combustíveis para veículos automotores,2004-09-17
10692201000150,PE,SANTA CRUZ DO CAPIBARIBE,OLIVEIRA COMERCIO DE COMBUSTIVEIS EIRELI,,MICRO EMPRESA,Comércio varejista de combustíveis para veículos automotores,2009-01-28
2524863000193,PE,OURICURI,AUTO POSTO RAUL LINS LTDA,POSTO RAUL LINS,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1998-05-19
25296620000140,PE,TIMBAUBA,AUTO POSTO TIMBAUBA LTDA,AUTO POSTO TIMBAUBA,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2016-07-27
28186340000178,PE,SERRA TALHADA,CLAUDIO FELIPE DA COSTA JUNIOR,FELIPE HOTEL,MICRO EMPRESA,Hotéis,2017-07-14
26956997000141,PE,CARPINA,EDU PETRO COMBUSTIVEIS LTDA,EDU PETRO COMBUSTIVEIS,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2017-01-26
35345321000102,PE,SALGUEIRO,FERNANDO SILVINO DE LIMA COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,POSTO ITAMARATY,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1990-06-21
5632481000171,PE,CARUARU,F. ANTONIO DA SILVA-HOTEL,HOTEL MAYSA,EMPRESA DE PEQUENO PORTE,Hotéis,2003-05-07
26158235000108,PE,AFOGADOS DA INGAZEIRA,HOTEL WJ EIRELI,HOTEL WJ,EMPRESA DE PEQUENO PORTE,Hotéis,2016-09-13
8072308000820,PE,PESQUEIRA,J A D ARAUJO & CIA LTDA,,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2004-04-12
29946377000110,PE,OURICURI,LUIZ LIMA GUIMARAES FILHO EIRELI,LUIZ GUIMARAES HOTEL,MICRO EMPRESA,Hotéis,2018-03-15
26199249000242,DF,BRASILIA,PAPRICA BURGER COMERCIO DE ALIMENTOS LTDA,PAPRICA BURGER,DEMAIS,Restaurantes e similares,2017-07-18
12223678000201,PE,IGUARACI,PEREIRA E DINIZ COMERCIO E DISTRIBUICAO LTDA,AUTO POSTO VALE DO PAJEU,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2013-04-12
18683994000153,PE,PALMARES,POSTO AR COMBUSTIVEIS LTDA,POSTO JAPARANDUBA,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2013-08-15
10928767000139,PE,POMBOS,POSTO ARCO-IRIS COMBUSTIVEIS LTDA,POSTO ARCO-IRIS,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2009-06-30
22637844000180,PE,PARNAMIRIM,COMERCIO DE COMBUSTIVEIS PARNAMIRIM LTDA,POSTO CACHOEIRA 4,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2015-06-12
22200772000290,PE,SAO CAITANO,R L C COMBUSTIVEIS - EIRELI,POSTO SAO CAETANO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2017-02-14
32876431000102,DF,BRASILIA,THE PLANT COMERCIO DE ALIMENTOS LTDA,THE PLANT,MICRO EMPRESA,Restaurantes e similares,2019-02-25
37247557000131,DF,BRASILIA,VIDANOVA COMERCIO DE ALIMENTOS LTDA,MARIETTA E MARVIN AMERICAN BURGER,EMPRESA DE PEQUENO PORTE,"Lanchonetes, casas de chá, de sucos e similares",2020-05-27
23859444000182,DF,BRASILIA,CBM SOLUCAO EM ALIMENTACAO LTDA,COZINHA AUTHORAL,EMPRESA DE PEQUENO PORTE,Restaurantes e similares,2015-12-17
12781233000824,PE,VITORIA DE SANTO ANTAO,PETROCAL PETROLEO CAVALCANTI LIMITADA,PETROCAL BONANCA,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2000-04-11
4003967000188,PE,CATENDE,POSTO CANAVIEIRO CATENDE LTDA,POSTO CANAVIEIRO,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2000-08-23
35012634000149,PE,GARANHUNS,POSTO GARANHUNS ALEXANDRE E GALINDO LTDA,,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2019-09-27
8319604000107,PE,RIACHO DAS ALMAS,E W L DA SILVA LTDA,,MICRO EMPRESA,Comércio varejista de combustíveis para veículos automotores,2006-09-11
43382036000190,RJ,RIO DE JANEIRO,MAPEO SERVICOS DE INOVACAO TECNOLOGICA LTDA,MAPEO DIGITAL,EMPRESA DE PEQUENO PORTE,Marketing direto,2021-09-02
2223966010186,SP,SAO PAULO,ATLANTICA HOTELS INTERNATIONAL BRASIL LTDA,,DEMAIS,Apart-hotéis,2018-02-22
5952001000150,PE,PETROLINA,AUTO POSTO CENTENARIO LTDA,POSTO RAUL LINS IV,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2003-09-29
15536838000171,PE,PESQUEIRA,AYRON CARVALHO DE ARAUJO JUNIOR,HOTEL CRUZEIRO,MICRO EMPRESA,Hotéis,2012-05-03
27680140000295,SP,GUARULHOS,GF4 PARTICIPACOES LTDA,,DEMAIS,"Lanchonetes, casas de chá, de sucos e similares",2020-01-27
